"Year,Month_Name,State,Vehicle_Category,EV_Sales_Quantity,Date_parsed"
"2014,Jan,Maharashtra,2-Wheelers,0,2014-01-01"
"2014,Jan,Maharashtra,2-Wheelers,4,2014-01-01"
"2014,Jan,Maharashtra,4-Wheelers,0,2014-01-01"
"2014,Jan,Maharashtra,4-Wheelers,3,2014-01-01"
"2014,Jan,Meghalaya,Others,0,2014-01-01"
"2014,Jan,Meghalaya,Bus,0,2014-01-01"
"2014,Jan,Meghalaya,2-Wheelers,0,2014-01-01"
"2014,Jan,Meghalaya,4-Wheelers,0,2014-01-01"
"2014,Jan,Meghalaya,3-Wheelers,0,2014-01-01"
"2014,Jan,Madhya Pradesh,Others,0,2014-01-01"
"2014,Jan,Madhya Pradesh,Bus,0,2014-01-01"
"2014,Jan,Madhya Pradesh,2-Wheelers,4,2014-01-01"
"2014,Jan,Madhya Pradesh,2-Wheelers,0,2014-01-01"
"2014,Jan,Madhya Pradesh,4-Wheelers,0,2014-01-01"
"2014,Jan,Madhya Pradesh,3-Wheelers,0,2014-01-01"
"2014,Jan,Mizoram,Others,0,2014-01-01"
"2014,Jan,Mizoram,Bus,0,2014-01-01"
"2014,Jan,Mizoram,4-Wheelers,0,2014-01-01"
"2014,Jan,Mizoram,2-Wheelers,0,2014-01-01"
"2014,Jan,Mizoram,3-Wheelers,0,2014-01-01"
"2014,Jan,Nagaland,Others,0,2014-01-01"
"2014,Jan,Nagaland,Bus,0,2014-01-01"
"2014,Jan,Nagaland,2-Wheelers,0,2014-01-01"
"2014,Jan,Nagaland,4-Wheelers,0,2014-01-01"
"2014,Jan,Nagaland,3-Wheelers,0,2014-01-01"
"2014,Jan,Odisha,Others,0,2014-01-01"
"2014,Jan,Odisha,Bus,0,2014-01-01"
"2014,Jan,Odisha,Others,1,2014-01-01"
"2014,Jan,Odisha,4-Wheelers,0,2014-01-01"
"2014,Jan,Odisha,2-Wheelers,2,2014-01-01"
"2014,Jan,Odisha,2-Wheelers,0,2014-01-01"
"2014,Jan,Odisha,2-Wheelers,3,2014-01-01"
"2014,Jan,Odisha,3-Wheelers,0,2014-01-01"
"2014,Jan,Odisha,3-Wheelers,1,2014-01-01"
"2014,Jan,Punjab,Others,0,2014-01-01"
"2014,Jan,Punjab,Others,1,2014-01-01"
"2014,Jan,Punjab,Bus,0,2014-01-01"
"2014,Jan,Punjab,2-Wheelers,1,2014-01-01"
"2014,Jan,Punjab,2-Wheelers,4,2014-01-01"
"2014,Jan,Punjab,4-Wheelers,0,2014-01-01"
"2014,Jan,Punjab,3-Wheelers,0,2014-01-01"
"2014,Jan,Puducherry,Others,0,2014-01-01"
"2014,Jan,Puducherry,Bus,0,2014-01-01"
"2014,Jan,Puducherry,2-Wheelers,2,2014-01-01"
"2014,Jan,Puducherry,2-Wheelers,0,2014-01-01"
"2014,Jan,Puducherry,4-Wheelers,0,2014-01-01"
"2014,Jan,Puducherry,3-Wheelers,0,2014-01-01"
"2014,Jan,Rajasthan,Others,0,2014-01-01"
"2014,Jan,Rajasthan,Bus,0,2014-01-01"
"2014,Jan,Rajasthan,2-Wheelers,4,2014-01-01"
"2014,Jan,Rajasthan,2-Wheelers,0,2014-01-01"
"2014,Jan,Rajasthan,4-Wheelers,0,2014-01-01"
"2014,Jan,Rajasthan,3-Wheelers,0,2014-01-01"
"2014,Jan,Sikkim,Bus,0,2014-01-01"
"2014,Jan,Sikkim,Others,0,2014-01-01"
"2014,Jan,Sikkim,4-Wheelers,0,2014-01-01"
"2014,Jan,Sikkim,2-Wheelers,0,2014-01-01"
"2014,Jan,Tamil Nadu,Others,0,2014-01-01"
"2014,Jan,Tamil Nadu,Others,4,2014-01-01"
"2014,Jan,Tamil Nadu,Bus,0,2014-01-01"
"2014,Jan,Tamil Nadu,Others,5,2014-01-01"
"2014,Jan,Tamil Nadu,3-Wheelers,0,2014-01-01"
"2014,Jan,Tamil Nadu,Others,2,2014-01-01"
"2014,Jan,Tamil Nadu,2-Wheelers,7,2014-01-01"
"2014,Jan,Tamil Nadu,2-Wheelers,0,2014-01-01"
"2014,Jan,Tamil Nadu,2-Wheelers,2,2014-01-01"
"2014,Jan,Tamil Nadu,4-Wheelers,0,2014-01-01"
"2014,Jan,Tamil Nadu,4-Wheelers,1,2014-01-01"
"2014,Jan,Tamil Nadu,Others,1,2014-01-01"
"2014,Jan,Tripura,Others,0,2014-01-01"
"2014,Jan,Tripura,Bus,0,2014-01-01"
"2014,Jan,Tripura,2-Wheelers,0,2014-01-01"
"2014,Jan,Tripura,4-Wheelers,0,2014-01-01"
"2014,Jan,Tripura,3-Wheelers,0,2014-01-01"
"2014,Jan,Uttarakhand,Others,0,2014-01-01"
"2014,Jan,Uttarakhand,Bus,0,2014-01-01"
"2014,Jan,Uttarakhand,2-Wheelers,3,2014-01-01"
"2014,Jan,Uttarakhand,2-Wheelers,0,2014-01-01"
"2014,Jan,Uttarakhand,4-Wheelers,0,2014-01-01"
"2014,Jan,Uttarakhand,3-Wheelers,0,2014-01-01"
"2014,Jan,Uttar Pradesh,Others,0,2014-01-01"
"2014,Jan,Uttar Pradesh,Bus,0,2014-01-01"
"2014,Jan,Uttar Pradesh,4-Wheelers,0,2014-01-01"
"2014,Jan,Uttar Pradesh,2-Wheelers,6,2014-01-01"
"2014,Jan,Uttar Pradesh,2-Wheelers,0,2014-01-01"
"2014,Jan,Uttar Pradesh,3-Wheelers,0,2014-01-01"
"2014,Jan,West Bengal,Others,0,2014-01-01"
"2014,Jan,West Bengal,Bus,0,2014-01-01"
"2014,Jan,West Bengal,4-Wheelers,0,2014-01-01"
"2014,Jan,West Bengal,2-Wheelers,0,2014-01-01"
"2014,Jan,West Bengal,4-Wheelers,1,2014-01-01"
"2014,Jan,West Bengal,3-Wheelers,0,2014-01-01"
